"dates","location","total","preasure","rain","sun","humidity","mean_temp","max_temp","min_temp","wind_gust","mean_wind_spd","disease","located","ID"
Apr 2019,1,5,89.5563101851847,95.702,246.883306320908,0.747508979260799,24.548443106841,35.6,17.2,7.35,0.757136574074071,"Asthma","Kalongo",1
Apr 2019,1,9,89.5563101851847,95.702,246.883306320908,0.747508979260799,24.548443106841,35.6,17.2,7.35,0.757136574074071,"Typhoid","Kalongo",2
Apr 2019,1,143,89.5563101851847,95.702,246.883306320908,0.747508979260799,24.548443106841,35.6,17.2,7.35,0.757136574074071,"Malaria","Kalongo",3
Apr 2019,1,13,89.5563101851847,95.702,246.883306320908,0.747508979260799,24.548443106841,35.6,17.2,7.35,0.757136574074071,"Dysentry","Kalongo",4
Apr 2019,2,275,88.6736527777778,170.453,216.030208333333,0.806512850196804,23.6085763888889,28.3,17.2,10.65,1.20275894649817,"Malaria","Entebbe",5
Apr 2019,2,60,88.6736527777778,170.453,216.030208333333,0.806512850196804,23.6085763888889,28.3,17.2,10.65,1.20275894649817,"Typhoid","Entebbe",6
Apr 2019,2,31,88.6736527777778,170.453,216.030208333333,0.806512850196804,23.6085763888889,28.3,17.2,10.65,1.20275894649817,"Asthma","Entebbe",7
Apr 2019,2,6,88.6736527777778,170.453,216.030208333333,0.806512850196804,23.6085763888889,28.3,17.2,10.65,1.20275894649817,"Dysentry","Entebbe",8
Apr 2019,3,391,87.8221693305536,109.492,200.571693305536,0.784453818518947,22.5798702802873,30.5,16.6,30,0.84606356085229,"Malaria","Gombe",9
Apr 2019,3,12,87.8221693305536,109.492,200.571693305536,0.784453818518947,22.5798702802873,30.5,16.6,30,0.84606356085229,"Asthma","Gombe",10
Apr 2019,3,5,87.8221693305536,109.492,200.571693305536,0.784453818518947,22.5798702802873,30.5,16.6,30,0.84606356085229,"Dysentry","Gombe",11
Apr 2019,3,71,87.8221693305536,109.492,200.571693305536,0.784453818518947,22.5798702802873,30.5,16.6,30,0.84606356085229,"Typhoid","Gombe",12
Apr 2019,4,435,88.9739074074081,152.869,247.059279842538,0.719578770301623,24.4029439035698,36.1,16.9,30,1.09726736111111,"Malaria","Gulu",13
Apr 2019,4,19,88.9739074074081,152.869,247.059279842538,0.719578770301623,24.4029439035698,36.1,16.9,30,1.09726736111111,"Asthma","Gulu",14
Apr 2019,4,11,88.9739074074081,152.869,247.059279842538,0.719578770301623,24.4029439035698,36.1,16.9,30,1.09726736111111,"Dysentry","Gulu",15
Apr 2019,4,15,88.9739074074081,152.869,247.059279842538,0.719578770301623,24.4029439035698,36.1,16.9,30,1.09726736111111,"Typhoid","Gulu",16
Apr 2019,5,191,87.6778773148149,190.7,191.742708333333,0.79641284722222,23.3625578703704,31.2,16.8,30,0.645672453703703,"Malaria","Mulago",17
Apr 2019,5,10,87.6778773148149,190.7,191.742708333333,0.79641284722222,23.3625578703704,31.2,16.8,30,0.645672453703703,"Dysentry","Mulago",18
Apr 2019,5,23,87.6778773148149,190.7,191.742708333333,0.79641284722222,23.3625578703704,31.2,16.8,30,0.645672453703703,"Typhoid","Mulago",19
Apr 2019,5,104,87.6778773148149,190.7,191.742708333333,0.79641284722222,23.3625578703704,31.2,16.8,30,0.645672453703703,"Asthma","Mulago",20
Apr 2019,7,522,88.8316805555557,104.48,262.641666666667,0.678999304831422,25.2847516498785,36.3,18,30,1.51864930555555,"Malaria","Soroti",21
Apr 2019,7,10,88.8316805555557,104.48,262.641666666667,0.678999304831422,25.2847516498785,36.3,18,30,1.51864930555555,"Dysentry","Soroti",22
Apr 2019,7,64,88.8316805555557,104.48,262.641666666667,0.678999304831422,25.2847516498785,36.3,18,30,1.51864930555555,"Typhoid","Soroti",23
Apr 2019,8,7,90.6427874564462,4.131,146.974912891986,0.683930914166086,25.6018815331011,38.5,18.6,26.01,2.51452830188679,"Asthma","Kitgum",24
Apr 2019,8,68,90.6427874564462,4.131,146.974912891986,0.683930914166086,25.6018815331011,38.5,18.6,26.01,2.51452830188679,"Malaria","Kitgum",25
Apr 2019,8,8,90.6427874564462,4.131,146.974912891986,0.683930914166086,25.6018815331011,38.5,18.6,26.01,2.51452830188679,"Dysentry","Kitgum",26
Apr 2019,8,84,90.6427874564462,4.131,146.974912891986,0.683930914166086,25.6018815331011,38.5,18.6,26.01,2.51452830188679,"Typhoid","Kitgum",27
Aug 2019,1,6,89.8308613351246,19.026,189.339493727599,0.862934417040354,21.884909253865,32.3,15.1,7.18,0.664320116487453,"Typhoid","Kalongo",28
Aug 2019,1,688,89.8308613351246,19.026,189.339493727599,0.862934417040354,21.884909253865,32.3,15.1,7.18,0.664320116487453,"Malaria","Kalongo",29
Aug 2019,1,6,89.8308613351246,19.026,189.339493727599,0.862934417040354,21.884909253865,32.3,15.1,7.18,0.664320116487453,"Dysentry","Kalongo",30
Aug 2019,2,276,88.8772983870971,59.443,173.408154121864,0.788192919560833,21.807336469534,27.9,16.1,10.32,1.15686582335668,"Malaria","Entebbe",31
Aug 2019,2,60,88.8772983870971,59.443,173.408154121864,0.788192919560833,21.807336469534,27.9,16.1,10.32,1.15686582335668,"Typhoid","Entebbe",32
Aug 2019,2,16,88.8772983870971,59.443,173.408154121864,0.788192919560833,21.807336469534,27.9,16.1,10.32,1.15686582335668,"Asthma","Entebbe",33
Aug 2019,2,4,88.8772983870971,59.443,173.408154121864,0.788192919560833,21.807336469534,27.9,16.1,10.32,1.15686582335668,"Dysentry","Entebbe",34
